Player,Team,Season,first_or_second,playerID
Rudy Gobert,Utah Jazz,2018-19,1,203497
Paul George,Oklahoma City Thunder,2018-19,1,202331
Giannis Antetokounmpo,Milwaukee Bucks,2018-19,1,203507
Marcus Smart,Boston Celtics,2018-19,1,203935
Eric Bledsoe,Milwaukee Bucks,2018-19,1,202339
Jrue Holiday,New Orleans Pelicans,2018-19,2,201950
Klay Thompson,Golden State Warriors,2018-19,2,202691
Joel Embiid,Philadelphia 76ers,2018-19,2,203954
Draymond Green,Golden State Warriors,2018-19,2,203110
Kawhi Leonard,Toronto Raptors,2018-19,2,202695
Rudy Gobert,Utah Jazz,2017-18,1,203497
Anthony Davis,New Orleans Pelicans,2017-18,1,203076
Victor Oladipo,Indiana Pacers,2017-18,1,203506
Jrue Holiday,New Orleans Pelicans,2017-18,1,201950
Robert Covington,Philadelphia 76ers,2017-18,1,203496
Joel Embiid,Philadelphia 76ers,2017-18,2,203954
Draymond Green,Golden State Warriors,2017-18,2,203110
Al Horford,Boston Celtics,2017-18,2,201143
Dejounte Murray,San Antonio Spurs,2017-18,2,1627749
Jimmy Butler,Minnesota Timberwolves,2017-18,2,202710
Draymond Green,Golden State Warriors,2016-17,1,203110
Rudy Gobert,Utah Jazz,2016-17,1,203497
Kawhi Leonard,San Antonio Spurs,2016-17,1,202695
Chris Paul,Los AngelesÂ Clippers,2016-17,1,101108
Patrick Beverly,Houston Rockets,2016-17,1,201976
Tony Allen,Memphis Grizzlies,2016-17,2,2754
Danny Green,San Antonio Spurs,2016-17,2,201980
Giannis Antetokounmpo,Milwaukee Bucks,2016-17,2,203507
Andre Roberson,Oklahoma City THunder,2016-17,2,203460
Anthony Davis,New Orleans Pelicans,2016-17,2,203076
Kawhi Leonard,San Antonio Spurs,2015-16,1,202695
Draymond Green,Golden State Warriors,2015-16,1,203110
DeAndre Jordan,Los Angeles Clippers,2015-16,1,201599
Avery Bradley,Boston Celtics,2015-16,1,202340
Chris Paul,Los Angeles Clippers,2015-16,1,101108
Paul Millsap,Atlanta Hawks,2015-16,2,200794
Paul George,Indiana Pacers,2015-16,2,202331
Hassan Whiteside,Miami Heat,2015-16,2,202355
Tony Allen,Memphis Grizzlies,2015-16,2,2754
Jimmy Butler,Chicago Bulls,2015-16,2,202710
Kawhi Leonard,San Antonio Spurs,2014-15,1,202695
Draymond Green,Golden State Warriors,2014-15,1,203110
Tony Allen,Memphis Grizzlies,2014-15,1,2754
DeAndre Jordan,Los Angeles Clippers,2014-15,1,201599
Chris Paul,Los Angeles Clippers,2014-15,1,101108
Anthony Davis,New Orleans Pelicans,2014-15,2,203076
Jimmy Butler,Chicago Bulls,2014-15,2,202710
Andrew Bogut,Golden State Warriors,2014-15,2,101106
John Wall,Washington Wizards,2014-15,2,202322
Tim Duncan,San Antonio Spurs,2014-15,2,1495
Joakim Noah,Chicago Bulls,2013-14,1,201149
Paul George,Indiana Pacers,2013-14,1,202331
Chris Paul,Los Angeles Clippers,2013-14,1,101108
Serge Ibaka,Oklahoma City Thunder,2013-14,1,201586
Andre Iguodala,Golden State Warriors,2013-14,1,2738
LeBron James,Miami Heat,2013-14,2,2544
Patrick Beverley,Houston Rockets,2013-14,2,201976
Jimmy Butler,Chicago Bulls,2013-14,2,202710
Kawhi Leonard,San Antonio Spurs,2013-14,2,202695
Roy Hibbert,Indiana Pacers,2013-14,2,201579
LeBron James,Miami Heat,2012-13,1,2544
Serge Ibaka,Oklahoma City Thunder,2012-13,1,201586
Tyson Chandler,New York Knicks,2012-13,1,2199
Joakim Noah,Chicago Bulls,2012-13,1,201149
Tony Allen,Memphis Grizzlies,2012-13,1,2754
Chris Paul,Los Angeles Clippers,2012-13,1,101108
Tim Duncan,San Antonio Spurs,2012-13,2,1495
Paul George,Indiana Pacers,2012-13,2,202331
Marc Gasol,Memphis Grizzlies,2012-13,2,201188
Avery Bradley,Boston Celtics,2012-13,2,202340
Mike Conley,Memphis Grizzlies,2012-13,2,201144
Chris Paul,Los Angeles Clippers,2011-12,1,101108
Tony Allen,Memphis Grizzlies,2011-12,1,2754
Dwight Howard,Orlando Magic,2011-12,1,2730
LeBron James,Miami Heat,2011-12,1,2544
